Country,Year,FreedomScore,Continent
Afghanistan,1900,0.074,Asia
Afghanistan,1901,0.074,Asia
Afghanistan,1902,0.084,Asia
Afghanistan,1903,0.084,Asia
Afghanistan,1904,0.084,Asia
Afghanistan,1905,0.084,Asia
3420,Botswana,1936,0.145,Africa
3421,Botswana,1937,0.145,Africa
3422,Botswana,1938,0.145,Africa
3423,Botswana,1939,0.142,Africa
3424,Botswana,1940,0.142,Africa
3425,Botswana,1941,0.142,Africa
3426,Botswana,1942,0.142,Africa
3427,Botswana,1943,0.133,Africa
3428,Botswana,1944,0.133,Africa
3429,Botswana,1945,0.133,Africa
3430,Botswana,1946,0.14,Africa
3431,Botswana,1947,0.14,Africa
3432,Botswana,1948,0.14,Africa
3433,Botswana,1949,0.154,Africa
3434,Botswana,1950,0.154,Africa
3435,Botswana,1951,0.154,Africa
3436,Botswana,1952,0.154,Africa
3437,Botswana,1953,0.154,Africa
3438,Botswana,1954,0.154,Africa
3439,Botswana,1955,0.154,Africa
3440,Botswana,1956,0.152,Africa
3441,Botswana,1957,0.152,Africa
3442,Botswana,1958,0.152,Africa
3443,Botswana,1959,0.152,Africa
3444,Botswana,1960,0.169,Africa
3445,Botswana,1961,0.169,Africa
3446,Botswana,1962,0.206,Africa
3447,Botswana,1963,0.206,Africa
3448,Botswana,1964,0.206,Africa
3449,Botswana,1965,0.206,Africa
3450,Botswana,1966,0.736,Africa
3451,Botswana,1967,0.745,Africa
3452,Botswana,1968,0.745,Africa
3453,Botswana,1969,0.745,Africa
3454,Botswana,1970,0.745,Africa
3455,Botswana,1971,0.745,Africa
3456,Botswana,1972,0.745,Africa
3457,Botswana,1973,0.745,Africa
3458,Botswana,1974,0.745,Africa
3459,Botswana,1975,0.745,Africa
3460,Botswana,1976,0.75,Africa
3461,Botswana,1977,0.75,Africa
3462,Botswana,1978,0.75,Africa
3463,Botswana,1979,0.75,Africa
3464,Botswana,1980,0.75,Africa
3465,Botswana,1981,0.754,Africa
3466,Botswana,1982,0.775,Africa
3467,Botswana,1983,0.775,Africa
3468,Botswana,1984,0.793,Africa
3469,Botswana,1985,0.793,Africa
3470,Botswana,1986,0.793,Africa
3471,Botswana,1987,0.793,Africa
3472,Botswana,1988,0.812,Africa
3473,Botswana,1989,0.812,Africa
3474,Botswana,1990,0.812,Africa
3475,Botswana,1991,0.812,Africa
3476,Botswana,1992,0.812,Africa
3477,Botswana,1993,0.812,Africa
3478,Botswana,1994,0.812,Africa
3479,Botswana,1995,0.812,Africa
3480,Botswana,1996,0.812,Africa
3481,Botswana,1997,0.812,Africa
3482,Botswana,1998,0.812,Africa
3483,Botswana,1999,0.812,Africa
3484,Botswana,2000,0.812,Africa
3485,Botswana,2001,0.812,Africa
3486,Botswana,2002,0.812,Africa
3487,Botswana,2003,0.812,Africa
3488,Botswana,2004,0.823,Africa
3489,Botswana,2005,0.823,Africa
3490,Botswana,2006,0.818,Africa
3491,Botswana,2007,0.827,Africa
3492,Botswana,2008,0.815,Africa
3493,Botswana,2009,0.811,Africa
3494,Botswana,2010,0.811,Africa
3495,Botswana,2011,0.813,Africa
3496,Botswana,2012,0.813,Africa
3497,Botswana,2013,0.793,Africa
3498,Botswana,2014,0.791,Africa
3499,Botswana,2015,0.777,Africa
3500,Botswana,2016,0.777,Africa
3501,Botswana,2017,0.797,Africa
3502,Botswana,2018,0.811,Africa
3503,Botswana,2019,0.791,Africa
3504,Botswana,2020,0.761,Africa
3505,Botswana,2021,0.812,Africa
3506,Botswana,2022,0.799,Africa
3507,Botswana,2023,0.811,Africa
3508,Botswana,2024,0.81,Africa
4925,Chile,1789,0.052,South America
4926,Chile,1790,0.058,South America
4927,Chile,1791,0.053,South America
4928,Chile,1792,0.053,South America
4929,Chile,1793,0.053,South America
4930,Chile,1794,0.053,South America
4931,Chile,1795,0.053,South America
4932,Chile,1796,0.053,South America
4933,Chile,1797,0.053,South America
4934,Chile,1798,0.053,South America
4935,Chile,1799,0.053,South America
4936,Chile,1800,0.053,South America
4937,Chile,1801,0.053,South America
4938,Chile,1802,0.053,South America
4939,Chile,1803,0.053,South America
4940,Chile,1804,0.053,South America
4941,Chile,1805,0.053,South America
4942,Chile,1806,0.053,South America
4943,Chile,1807,0.053,South America
4944,Chile,1808,0.053,South America
4945,Chile,1809,0.053,South America
4946,Chile,1810,0.09,South America
4947,Chile,1811,0.09,South America
4948,Chile,1812,0.109,South America
4949,Chile,1813,0.109,South America
4950,Chile,1814,0.086,South America
4951,Chile,1815,0.051,South America
4952,Chile,1816,0.051,South America
4953,Chile,1817,0.079,South America
4954,Chile,1818,0.105,South America
4955,Chile,1819,0.105,South America
4956,Chile,1820,0.116,South America
4957,Chile,1821,0.116,South America
4958,Chile,1822,0.116,South America
4959,Chile,1823,0.454,South America
4960,Chile,1824,0.454,South America
4961,Chile,1825,0.454,South America
4962,Chile,1826,0.454,South America
4963,Chile,1827,0.454,South America
4964,Chile,1828,0.454,South America
4965,Chile,1829,0.424,South America
4966,Chile,1830,0.134,South America
4967,Chile,1831,0.134,South America
4968,Chile,1832,0.119,South America
4969,Chile,1833,0.119,South America
4970,Chile,1834,0.112,South America
4971,Chile,1835,0.112,South America
4972,Chile,1836,0.112,South America
4973,Chile,1837,0.112,South America
4974,Chile,1838,0.112,South America
4975,Chile,1839,0.122,South America
4976,Chile,1840,0.272,South America
4977,Chile,1841,0.272,South America
4978,Chile,1842,0.324,South America
4979,Chile,1843,0.324,South America
4980,Chile,1844,0.282,South America
4981,Chile,1845,0.251,South America
4982,Chile,1846,0.275,South America
4983,Chile,1847,0.264,South America
4984,Chile,1848,0.27,South America
4985,Chile,1849,0.283,South America
4986,Chile,1850,0.38,South America
4987,Chile,1851,0.38,South America
4988,Chile,1852,0.257,South America
4989,Chile,1853,0.257,South America
4990,Chile,1854,0.257,South America
4991,Chile,1855,0.257,South America
4992,Chile,1856,0.257,South America
4993,Chile,1857,0.257,South America
4994,Chile,1858,0.303,South America
4995,Chile,1859,0.3,South America
4996,Chile,1860,0.408,South America
4997,Chile,1861,0.462,South America
4998,Chile,1862,0.467,South America
4999,Chile,1863,0.467,South America
5000,Chile,1864,0.467,South America
5001,Chile,1865,0.467,South America
5002,Chile,1866,0.479,South America
5003,Chile,1867,0.479,South America
5004,Chile,1868,0.479,South America
5005,Chile,1869,0.479,South America
5006,Chile,1870,0.487,South America
5007,Chile,1871,0.487,South America
5008,Chile,1872,0.613,South America
5009,Chile,1873,0.613,South America
5010,Chile,1874,0.634,South America
5011,Chile,1875,0.642,South America
5012,Chile,1876,0.642,South America
5013,Chile,1877,0.642,South America
5014,Chile,1878,0.642,South America
5015,Chile,1879,0.642,South America
5016,Chile,1880,0.642,South America
5017,Chile,1881,0.642,South America
5018,Chile,1882,0.642,South America
5019,Chile,1883,0.642,South America
5020,Chile,1884,0.642,South America
5021,Chile,1885,0.642,South America
5022,Chile,1886,0.642,South America
5023,Chile,1887,0.647,South America
5024,Chile,1888,0.647,South America
5025,Chile,1889,0.647,South America
5026,Chile,1890,0.435,South America
5027,Chile,1891,0.435,South America
5028,Chile,1892,0.601,South America
5029,Chile,1893,0.601,South America
5030,Chile,1894,0.601,South America
5031,Chile,1895,0.601,South America
5032,Chile,1896,0.601,South America
5033,Chile,1897,0.601,South America
5034,Chile,1898,0.601,South America
5035,Chile,1899,0.601,South America
5036,Chile,1900,0.601,South America
5037,Chile,1901,0.596,South America
5038,Chile,1902,0.601,South America
5039,Chile,1903,0.601,South America
5040,Chile,1904,0.601,South America
5041,Chile,1905,0.601,South America
5042,Chile,1906,0.597,South America
5043,Chile,1907,0.601,South America
5044,Chile,1908,0.601,South America
5045,Chile,1909,0.601,South America
5046,Chile,1910,0.598,South America
5047,Chile,1911,0.605,South America
5048,Chile,1912,0.605,South America
5049,Chile,1913,0.605,South America
5050,Chile,1914,0.605,South America
5051,Chile,1915,0.598,South America
5052,Chile,1916,0.602,South America
5053,Chile,1917,0.602,South America
5054,Chile,1918,0.602,South America
5055,Chile,1919,0.602,South America
5056,Chile,1920,0.604,South America
5057,Chile,1921,0.585,South America
5058,Chile,1922,0.585,South America
5059,Chile,1923,0.585,South America
5060,Chile,1924,0.572,South America
5061,Chile,1925,0.56,South America
5062,Chile,1926,0.567,South America
5063,Chile,1927,0.508,South America
5064,Chile,1928,0.515,South America
5065,Chile,1929,0.483,South America
5066,Chile,1930,0.494,South America
5067,Chile,1931,0.491,South America
5068,Chile,1932,0.535,South America
5069,Chile,1933,0.551,South America
5070,Chile,1934,0.551,South America
5071,Chile,1935,0.551,South America
5072,Chile,1936,0.551,South America
5073,Chile,1937,0.562,South America
5074,Chile,1938,0.543,South America
5075,Chile,1939,0.567,South America
5076,Chile,1940,0.573,South America
5077,Chile,1941,0.557,South America
5078,Chile,1942,0.548,South America
5079,Chile,1943,0.553,South America
5080,Chile,1944,0.569,South America
5081,Chile,1945,0.569,South America
5082,Chile,1946,0.532,South America
5083,Chile,1947,0.527,South America
5084,Chile,1948,0.527,South America
5085,Chile,1949,0.532,South America
5086,Chile,1950,0.629,South America
5087,Chile,1951,0.629,South America
5088,Chile,1952,0.62,South America
5089,Chile,1953,0.628,South America
5090,Chile,1954,0.628,South America
5091,Chile,1955,0.628,South America
5092,Chile,1956,0.628,South America
5093,Chile,1957,0.628,South America
5094,Chile,1958,0.633,South America
5095,Chile,1959,0.685,South America
5096,Chile,1960,0.711,South America
5097,Chile,1961,0.714,South America
5098,Chile,1962,0.714,South America
5099,Chile,1963,0.735,South America
5100,Chile,1964,0.769,South America
5101,Chile,1965,0.778,South America
5102,Chile,1966,0.778,South America
5103,Chile,1967,0.778,South America
5104,Chile,1968,0.778,South America
5105,Chile,1969,0.778,South America
5106,Chile,1970,0.809,South America
5107,Chile,1971,0.809,South America
5108,Chile,1972,0.778,South America
5109,Chile,1973,0.176,South America
5110,Chile,1974,0.023,South America
5111,Chile,1975,0.023,South America
5112,Chile,1976,0.023,South America
5113,Chile,1977,0.023,South America
5114,Chile,1978,0.026,South America
5115,Chile,1979,0.033,South America
5116,Chile,1980,0.037,South America
5117,Chile,1981,0.039,South America
